Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
21554,6808,2,1529503200,,
21555,6802,2,1529503200,,
21557,6821,2,1529503200,,
21558,6799,5,1529503200,7800,
21559,6799,2,1529503200,,
21560,6817,2,1529503200,,
21561,6094,2,1529503200,,
21562,6838,2,1529503200,,
21563,6836,2,1529503200,,
21564,6841,2,1529503200,,
21565,35,2,1529503200,,
21566,6794,2,1529589600,,
21567,6793,2,1529589600,,
21568,6765,2,1529589600,,
21569,4219,5,1529589600,16439,
21570,6827,2,1529589600,,
21571,2797,2,1529589600,,
21572,4639,2,1529589600,,
21573,6810,2,1529589600,,
21574,6850,2,1529589600,,
21575,6044,2,1529589600,,
21576,2345,2,1529589600,,
21577,1790,2,1529589600,,
21578,6765,2,1529589600,,
21579,3003,2,1529589600,,
21580,3002,2,1529589600,,
21581,3002,5,1529589600,16354,
21582,2646,2,1529589600,,
21583,111,2,1529589600,,
21584,4631,2,1529589600,,
21585,6846,2,1529589600,,
21586,6848,2,1529589600,,
21587,4464,2,1529589600,,
21588,4464,5,1529589600,16354,
21589,74,2,1529589600,,
21590,6848,2,1529589600,,
21591,6848,1,1529589600,,
21592,6810,5,1529589600,7800,
21593,3503,2,1529589600,,
21594,3494,2,1529589600,,
21595,4,2,1529589600,,
21596,4,5,1529589600,16354,
21597,2082,2,1529589600,,
21598,6846,2,1529589600,,
21599,6846,5,1529589600,7800,
21600,6851,2,1529589600,,
21601,5235,2,1529589600,,
21602,5235,5,1529589600,16354,
21603,84,2,1529589600,,
21604,84,5,1529589600,7800,
21605,5254,2,1529589600,,
21606,89,2,1529589600,,
21608,79,2,1529589600,,
21609,75,2,1529589600,,
21610,5235,2,1529589600,,
21611,6852,2,1529589600,,
21612,6852,5,1529589600,7800,
21615,6852,5,1529589600,16322,
21616,3089,2,1529589600,,
21617,5395,2,1529589600,,
21618,4402,2,1529589600,,
21619,3160,2,1529589600,,
21620,6810,2,1529589600,,
21621,6848,2,1529589600,,
21622,6853,2,1529589600,,
21623,93,2,1529589600,,
21624,86,2,1529589600,,
21625,3528,2,1529589600,,
21626,3528,5,1529589600,16354,
21627,3531,2,1529589600,,
21628,6805,2,1529589600,,
21629,6800,2,1529589600,,
21630,6813,2,1529589600,,
21631,6839,2,1529589600,,
21632,6854,2,1529589600,,
21633,6856,2,1529589600,,
21634,6857,3,1529589600,,
21635,5072,2,1529589600,,
21636,6083,3,1529589600,,
21637,6841,15,1529676000,,
21638,6859,15,1529676000,,
21640,6765,5,1529676000,5715,
21641,6770,5,1529676000,5715,
21642,6766,5,1529676000,5715,
21643,6862,2,1529676000,,
21644,6862,1,1529676000,,
21645,6847,1,1529676000,,
21646,6863,2,1529676000,,
21647,6860,2,1529676000,,
21648,2236,2,1529676000,,
21649,6861,3,1529676000,,
21650,6865,2,1529676000,,
21651,6866,3,1529676000,,
21652,6866,3,1529676000,,
21653,6866,3,1529676000,,
21654,6866,3,1529676000,,
21655,6821,2,1529676000,,
21656,6813,2,1529676000,,
21657,6806,2,1529676000,,
21658,6866,3,1529676000,,
21659,6866,3,1529676000,,
21660,6866,3,1529676000,,
21661,6866,12,1529676000,,
21662,6866,10,1529676000,,
21663,6865,2,1529676000,,
21664,6869,2,1529676000,,
21666,3105,2,1529676000,,
21667,6811,1,1529676000,,
21668,6851,2,1529762400,,
21669,3959,5,1529762400,16479,
21670,3295,3,1529762400,,
21671,6872,2,1529762400,,
21672,6800,5,1529762400,3005,
21673,6868,2,1529762400,,
21674,5712,10,1529762400,,
21675,2211,2,1529762400,,
21676,6873,3,1529762400,,
21677,6873,3,1529762400,,
21678,6790,10,1529762400,,
21679,5067,2,1529762400,,
21680,6871,2,1529762400,,
21681,6872,3,1529762400,,
21682,6868,3,1529762400,,
21683,6870,3,1529762400,,
21684,6841,3,1529762400,,
21685,6852,3,1529762400,,
21686,6806,2,1529762400,,
21687,6873,15,1529762400,,
21688,6873,10,1529762400,,
21690,6872,2,1529762400,,
21691,6872,5,1529762400,7800,
21692,6874,5,1529762400,7800,
21693,6874,2,1529762400,,
21695,6875,15,1529762400,,
21696,1851,2,1529848800,,
21697,6875,2,1529848800,,
21698,1851,2,1529848800,,
21699,6852,16,1529848800,,
21700,6875,2,1529848800,,
21701,6876,2,1529848800,,
21702,6878,2,1529848800,,
21703,6876,3,1529848800,,
21704,6811,2,1529848800,,
21706,6877,3,1529848800,,
21707,6861,3,1529848800,,
21709,6872,2,1529848800,,
21710,6879,2,1529848800,,
21711,6879,2,1529848800,,
21712,6880,2,1529848800,,
21713,6872,2,1529848800,,
21714,6880,2,1529848800,,
21715,6882,2,1529848800,,
21716,6841,10,1529848800,,
21717,6880,2,1529848800,,
21718,6880,5,1529848800,16354,
21719,6491,2,1529848800,,
21720,1507,2,1529848800,,
21721,1516,2,1529848800,,
21722,6885,2,1529848800,,
21723,250,2,1529848800,,
21724,1417,2,1529848800,,
21725,92,2,1529848800,,
21726,2143,2,1529848800,,
21727,4044,2,1529848800,,
21728,1479,2,1529848800,,
21729,6816,16,1529848800,,
21730,6867,16,1529848800,,
21731,6861,16,1529848800,,
21732,6852,2,1529848800,,
21733,6862,2,1529848800,,
21734,6859,2,1529848800,,
21735,4603,2,1529848800,,
21736,6836,5,1529848800,14680,
21737,6846,5,1529935200,16435,
21738,6886,2,1529935200,,
21739,6883,2,1529935200,,
21740,6887,2,1529935200,,
21741,5592,3,1529935200,,
21742,6878,5,1529935200,16496,
21743,4455,2,1529935200,,
21744,3943,2,1529935200,,
21745,6888,10,1529935200,,
21746,6794,2,1529935200,,
21747,5592,3,1529935200,,
21748,2211,2,1529935200,,
21749,2211,5,1529935200,16354,
21750,3830,2,1529935200,,
21751,2092,2,1529935200,,
21752,2098,2,1529935200,,
21753,6890,5,1529935200,16322,
21754,6892,2,1529935200,,
21756,6892,2,1529935200,,
21757,6521,2,1529935200,,
